"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"loglik[27]",-0.803071760305524,0.190672571594489,-1.19136281685965,-0.925839219156387,-0.79287298286217,-0.670637453715133,-0.460643347116965,1.00062641181153,3000
"loglik[28]",-3.11360447664456,0.440109251738478,-4.07680569696739,-3.3851703621844,-3.07788080727976,-2.80486423732261,-2.35407415723933,1.00078318349441,3000
"loglik[29]",-1.1399980217329,0.194459732506494,-1.54085827835112,-1.26184703661741,-1.13203667353828,-1.00680703480087,-0.772985152423405,1.00090102597523,3000
"loglik[30]",-1.02145514906536,0.178812004172977,-1.37944576558547,-1.13650498675825,-1.01582806221296,-0.89986756120246,-0.679954156795407,1.00092512291357,3000
"loglik[31]",-1.58846144793704,0.209177740388191,-2.03099348106964,-1.72329600781337,-1.5786177635559,-1.44646684266569,-1.20059874245434,1.0008811216809,3000
"loglik[32]",-2.27946932080947,0.305933375724177,-2.94741076073774,-2.4649242659272,-2.25411218125014,-2.06573582039242,-1.74119538624306,1.0007353394079,3000
"loglik[33]",-0.99977439269087,0.176289618170077,-1.36834093135171,-1.11359219394468,-0.995107490129698,-0.876870225532397,-0.668757238898213,1.00062513772603,3000
"p.global[1]",0.0848759622550252,0.0668668426577344,0.00394299966531361,0.0315768636321119,0.0696864788211859,0.121771513297759,0.24684638206986,1.00427913729308,1600
"p.global[2]",0.0570785496164121,0.0474028050137485,0.00175285769937867,0.0202048579540059,0.0444406628802156,0.0819033180316392,0.174496551143237,1.00182465974874,3000
"p.global[3]",0.107831197187519,0.0693457586459942,0.00516650166568501,0.0511033707281181,0.100374417703716,0.154110394290533,0.257099913436689,1.00510638751626,1700
"p.global[4]",0.349652682115335,0.144499269212334,0.0632854186993017,0.247306995098979,0.353303345883476,0.448167916947698,0.622696246562504,1.00106534369305,3000
"p.global[5]",0.138863060564689,0.107400580936043,0.00526557425482391,0.0554004504708127,0.11472833766279,0.202786997611623,0.401075642834957,1.01749033057993,260
"p.global[6]",0.261698548261021,0.128879857854911,0.0282486462009356,0.165514080911637,0.2584276707194,0.352573956527597,0.514863639398012,1.00342554953604,1300
"resid.prop[1]",2.49508901923964,1.16565396035538,0.907002255498734,1.68263685876002,2.26905434533992,3.07739866595245,5.28191570803357,1.00216492163115,1200
"resid.prop[2]",2.56562878272137,0.937375233008693,1.18364651323113,1.92938846914514,2.4173312031453,3.04159490242114,4.89384755450615,1.00090368512449,3000
