"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"loglik[31]",-1.62405900921631,0.210303290552536,-2.05158820721182,-1.75272367529836,-1.61984276293694,-1.48340485018018,-1.23228131207626,1.00203288426906,1300
"loglik[32]",-2.3517215802998,0.322037599267537,-3.08013717797221,-2.5408523908566,-2.32831587407478,-2.12744291971292,-1.77112943664531,1.00140443865194,2200
"loglik[33]",-1.01748045057743,0.171096069016538,-1.35785701071966,-1.13244961143227,-1.010705270891,-0.899312056210386,-0.696731698474408,1.00145073694279,2100
"p.global[1]",0.0943348098836607,0.0711435320386629,0.00366462560726332,0.0364126007680062,0.0801552716074491,0.140253892445255,0.261954729483261,1.00227810002607,1100
"p.global[2]",0.0611892806128894,0.0489635217027085,0.00234381138556016,0.0219840611099616,0.0499774004434725,0.088802051306092,0.1823186262324,1.00490806345794,460
"p.global[3]",0.0808478911176892,0.0567292929453632,0.00346911484364027,0.0342728364006908,0.0721147320906971,0.116376462929383,0.209144424598434,1.0017564013414,1600
"p.global[4]",0.22701980730644,0.139297218630602,0.0125409039285748,0.115677397788779,0.216668080658169,0.322125795698114,0.521963960885546,1.00535805400324,1500
"p.global[5]",0.128604139044978,0.102431458170428,0.00511476102511791,0.0471250190480095,0.10458782683455,0.184717407843042,0.377867902105395,1.00345623647091,800
"p.global[6]",0.202753681562436,0.115613851138536,0.0118812088155609,0.109334124522113,0.195542674367812,0.285338378416971,0.441093516819703,1.00982184763298,1000
"p.global[7]",0.205250390471907,0.113521907194622,0.0192644577572535,0.115935234298639,0.19943763050436,0.281021476819737,0.444655872254362,1.00154422852129,3000
"resid.prop[1]",3.08643085212462,1.22371704637971,1.2365527293991,2.23352830878575,2.89629838746599,3.74434675536103,6.03044126214315,1.00089018133719,3000
"resid.prop[2]",3.22911930533868,1.08026414897862,1.55424416890503,2.47039283281602,3.08800943060401,3.83820788623858,5.73782232431162,1.00063845890495,3000
