"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"loglik[19]",-0.985010714364819,0.17413200033964,-1.33263568378923,-1.10077819660172,-0.984522891020533,-0.866767076910862,-0.654731713152278,1.00058319084155,3000
"loglik[20]",-1.56591782193353,0.219868638231553,-2.03593878299431,-1.70709670449275,-1.55379535029265,-1.41278634280373,-1.15823468036419,1.00121368591645,2800
"loglik[21]",-2.04064965995233,0.354435598162337,-2.82232116270552,-2.24911039138922,-2.01703625387202,-1.78735920114627,-1.44241751452519,1.00097958163441,3000
"loglik[22]",-0.750110089236681,0.181266829127984,-1.132816324212,-0.872494308840642,-0.742544767298878,-0.626555227457423,-0.406747231064242,1.00104949587463,3000
"loglik[23]",-4.87136786561607,0.732968189753559,-6.43180647528487,-5.31569840272586,-4.81312007585238,-4.35333031026541,-3.60177819206691,1.00071394942859,3000
"loglik[24]",-0.784221187913786,0.183032123021892,-1.15681818876237,-0.907186167519044,-0.779643393027359,-0.658669201653871,-0.433155760130533,1.00155184205704,1900
"loglik[25]",-1.01995264360805,0.187031478912469,-1.40921483078455,-1.1413911702743,-1.01260201136903,-0.893127196750042,-0.66937040377823,1.0032757597988,720
"loglik[26]",-1.86367308136223,0.242252474428927,-2.39118688706941,-2.01853550143944,-1.8516473531933,-1.69493987307542,-1.42586759285047,1.00050970370595,3000
"loglik[27]",-0.758519876320111,0.182101481626913,-1.13317172028423,-0.882256445465995,-0.753772306887006,-0.63415272228059,-0.417461267562669,1.00120042663066,2900
"loglik[28]",-3.37956838788385,0.475498675971249,-4.44986090422133,-3.66872733738724,-3.3390140327708,-3.0424006102945,-2.57801134612717,1.0007081195985,3000
"loglik[29]",-1.12628221765218,0.181986003881027,-1.49413770975212,-1.24282618453453,-1.1195963436074,-1.00167421435576,-0.782371904996034,1.00075836836134,3000
"loglik[30]",-1.02990963151003,0.170350608189385,-1.37308027469926,-1.14143570122543,-1.0306137556347,-0.914095610810049,-0.702555106569069,1.00062998879413,3000
"loglik[31]",-1.72776605665669,0.228549195464052,-2.21918882735837,-1.86906010387848,-1.71574990613946,-1.56636010061163,-1.32807744826244,1.0005160583947,3000
"loglik[32]",-2.49329252229021,0.33833611113093,-3.24074980434108,-2.69614322090013,-2.45930991160584,-2.25302470712613,-1.9308339928224,1.00065362921519,3000
"loglik[33]",-1.07084703999987,0.181290801996609,-1.44593988442414,-1.18778107641053,-1.06498728220385,-0.946982560807683,-0.725312329258819,1.00079629675156,3000
"p.global[1]",0.072594385635883,0.0592095014368901,0.00249399521721962,0.0252797666617297,0.058171552964859,0.105245510956927,0.218229503558869,1.00532603493566,1500
"p.global[2]",0.102073013964628,0.0747893919782295,0.00429414252779187,0.0425044345806343,0.0892139863531469,0.146496587116472,0.273944804291058,1.00143912456312,3000
"p.global[3]",0.296351753511772,0.087269271578552,0.123726320306023,0.23821207368924,0.297719879342085,0.357654507468934,0.458699885904754,1.00088325629214,3000
"p.global[4]",0.250974390286431,0.127189429264909,0.0269013512423105,0.157952932187175,0.245799247248832,0.340024937568941,0.509052671567018,1.00087059981883,3000
"p.global[5]",0.146423781519507,0.108965934198834,0.00725377080823753,0.0600701024377633,0.121095409148748,0.214238109381044,0.401235752095822,1.00285190265528,850
"p.global[6]",0.131582675081778,0.0930427012975983,0.00374457316255199,0.0575493158944814,0.116499113386808,0.187663188321429,0.346285875407451,1.0039452281359,1100
"resid.prop[1]",2.42706408677183,0.884408024334043,1.12523609568938,1.81081064944665,2.27609699217344,2.87012111744614,4.62799473597245,1.00251068775151,1000
"resid.prop[2]",2.93816834782751,1.01607433658421,1.46145514289997,2.23251412706335,2.76538536858093,3.47452429849006,5.40170085360153,1.00163893417974,1800
